renyi_order,linear_coeff,log_coeff,const_coeff
1.0,0.534288579825735,0.15078510965347697,-0.7649014595962785
1.5,0.5182887187332406,0.02089129209674533,-0.46400916497106265
2.0,0.49935084487580916,0.021158052647507315,-0.40526632079283015
2.5,0.48407441054299366,0.01831198006268265,-0.3527226557259879
3.0,0.47084242748856636,0.01759743342010698,-0.3074876670706533
3.5,0.4588210087378003,0.02313921761046366,-0.27387572939116683
4.0,0.4477681124662439,0.03543302594572619,-0.2530469169029776
4.5,0.4377483827937199,0.05207079947283299,-0.24221307737370149
5.0,0.4288594874768573,0.07009978558578095,-0.23739779141109868
5.5,0.42111100496699466,0.0874433447835832,-0.23549294987131014
6.0,0.41442494176325456,0.10308503913317178,-0.2346897216806525
6.5,0.4086762742759054,0.11673459239811386,-0.23413546944635205
7.0,0.4037283068549239,0.1284754830013214,-0.23350920763040048
7.5,0.39945268940535905,0.13853801436586585,-0.23273634068050394
8.0,0.39573760543731695,0.1471828628986448,-0.23183715150053139
8.5,0.39248934273977143,0.15465136565395077,-0.23085775037710712
9.0,0.38963087772201754,0.16114935771542693,-0.22984281818104865
9.5,0.38709944396628615,0.1668458027410256,-0.22882715770188214
10.0,0.3848439981702709,0.1718770766969789,-0.22783499805803664
10.5,0.38282296012278993,0.17635257113303726,-0.22688169330245225
11.0,0.38100232200269124,0.18036007138138277,-0.22597597635590097
