L,delta,maxp,minent
4.0,-1.0,0.16666666666666666,1.791759469228055
4.0,-0.9,0.17419557394046387,1.7475766228057872
4.0,-0.8,0.18195861825602283,1.7039759899779785
4.0,-0.7,0.1899401554827242,1.6610462275790367
4.0,-0.6,0.19812141521004442,1.6188752280913457
4.0,-0.5,0.20648058601107552,1.5775488854748978
4.0,-0.3999999999999999,0.21499299789929968,1.5371498192950541
4.0,-0.29999999999999993,0.22363140422745129,1.497756099318709
4.0,-0.19999999999999996,0.23236635960353502,1.4594400166182346
4.0,-0.09999999999999998,0.2411666843332802,1.4222669483239208
4.0,0.0,0.2499999999999999,1.386294361119891
4.0,0.10000000000000009,0.25883331566671963,1.351570993316293
4.0,0.20000000000000018,0.2676336403964649,1.318136247132586
4.0,0.30000000000000004,0.2763685957725485,1.2860198123116375
4.0,0.40000000000000013,0.2850070021007002,1.2552415302409072
4.0,0.5,0.29351941398892445,1.2258114954316373
4.0,0.6000000000000001,0.3018785847899556,1.19773037956521
4.0,0.7000000000000002,0.31005984451727575,1.1709899533041648
4.0,0.8,0.31804138174397717,1.145573773397931
4.0,0.9000000000000001,0.325804426059536,1.1214579977022467
4.0,1.0,0.3333333333333333,1.0986122886681098
6.0,-1.0,0.1349298842765895,2.0030000111949673
6.0,-0.9,0.12952022963828771,2.04391819661952
6.0,-0.8,0.12270103407993775,2.09800449959143
6.0,-0.7,0.11413004512279994,2.170416734053525
6.0,-0.6,0.10353463527314519,2.2678490819360535
6.0,-0.5,0.08418232304893498,2.474770319810752
6.0,-0.3999999999999999,0.08333333333333343,2.484906649787999
6.0,-0.29999999999999993,0.08333333333333338,2.484906649788
6.0,-0.19999999999999996,0.08333333333333336,2.484906649788
6.0,-0.09999999999999998,0.0833333333333339,2.4849066497879937
6.0,0.0,0.18688115339672295,1.6772824075038562
6.0,0.10000000000000009,0.27574806333470864,1.288267644138071
6.0,0.20000000000000018,0.2976426237218749,1.2118617614070115
6.0,0.30000000000000004,0.31620607564116876,1.1513611398399117
6.0,0.40000000000000013,0.3320306571426094,1.1025279735378049
6.0,0.5,0.3456456906823472,1.0623410439552947
6.0,0.6000000000000001,0.35748156692807254,1.0286714792177474
6.0,0.7000000000000002,0.36787451835939566,1.0000133816800656
6.0,0.8,0.37708366624877215,0.9752881897668286
6.0,0.9000000000000001,0.3853087783069278,0.9537102445653612
6.0,1.0,0.39270509831248407,0.9346963347666748
8.0,-1.0,0.0142857142857143,4.2484952420493585
8.0,-0.9,0.017679864661756677,4.035328876679954
8.0,-0.8,0.021330279366181527,3.8476276492484294
8.0,-0.7,0.025249537464311987,3.678947441673619
8.0,-0.6,0.02946121501486223,3.5246806259311025
8.0,-0.5,0.0339933114671789,3.3815914952717603
8.0,-0.3999999999999999,0.038875285289803926,3.2473965698651925
8.0,-0.29999999999999993,0.0441369897836956,3.1204570774954803
8.0,-0.19999999999999996,0.04980839129800235,2.999571809186167
8.0,-0.09999999999999998,0.05591946922596356,2.883842672768947
8.0,0.0,0.06249999999999993,2.7725887222397825
8.0,0.10000000000000009,0.06957908302217651,2.6652912881009088
8.0,0.20000000000000018,0.07718434461991522,2.5615586324135293
8.0,0.30000000000000004,0.08534079922551109,2.461102636073834
8.0,0.40000000000000013,0.0940693779763307,2.3637227053691268
8.0,0.5,0.10338516576758357,2.269293791729968
8.0,0.6000000000000001,0.11329542407823397,2.1777564994227916
8.0,0.7000000000000002,0.12379751967966365,2.089107953830051
8.0,0.8,0.1348769254284451,2.003392579854612
8.0,0.9000000000000001,0.1465055013218792,1.9206922995448796
8.0,1.0,0.1586402908540162,1.8411159613505916
10.0,-1.0,0.043276963319986594,3.140134810491752
10.0,-0.9,0.021424357652310877,3.8432267961701023
10.0,-0.8,0.007410349964952475,4.904877612050858
10.0,-0.7,0.012131791371837517,4.411925885822168
10.0,-0.6,0.016209745082170247,4.122142669319326
10.0,-0.5,0.015042413654476196,4.196881490990865
10.0,-0.3999999999999999,0.014273136449387758,4.24937607841469
