L,delta,maxp,minent
3.0,-1.0,0.3333333333333333,1.0986122886681098
3.0,-0.9,0.3333333333333333,1.0986122886681098
3.0,-0.8,0.3333333333333333,1.0986122886681098
3.0,-0.7,0.3333333333333333,1.0986122886681098
3.0,-0.6,0.3333333333333333,1.0986122886681098
3.0,-0.5,0.3333333333333333,1.0986122886681098
3.0,-0.3999999999999999,0.3333333333333333,1.0986122886681098
3.0,-0.29999999999999993,0.3333333333333333,1.0986122886681098
3.0,-0.19999999999999996,0.3333333333333333,1.0986122886681098
3.0,-0.09999999999999998,0.3333333333333333,1.0986122886681098
3.0,0.0,0.3333333333333333,1.0986122886681098
3.0,0.10000000000000009,0.3333333333333333,1.0986122886681098
3.0,0.20000000000000018,0.3333333333333333,1.0986122886681098
3.0,0.30000000000000004,0.3333333333333333,1.0986122886681098
3.0,0.40000000000000013,0.3333333333333333,1.0986122886681098
3.0,0.5,0.3333333333333333,1.0986122886681098
3.0,0.6000000000000001,0.3333333333333333,1.0986122886681098
3.0,0.7000000000000002,0.3333333333333333,1.0986122886681098
3.0,0.8,0.3333333333333333,1.0986122886681098
3.0,0.9000000000000001,0.3333333333333333,1.0986122886681098
3.0,1.0,0.3333333333333333,1.0986122886681098
5.0,-1.0,0.11172202555646615,2.191741407417298
5.0,-0.9,0.10561419029652273,2.2479625389298845
5.0,-0.8,0.10055727224669642,2.297027840697562
5.0,-0.7,0.10672237976386702,2.2375243979267605
5.0,-0.6,0.11281150775223381,2.182036926041684
5.0,-0.5,0.118759247408508,2.130656966185573
5.0,-0.3999999999999999,0.12450773135459364,2.0833874657717684
5.0,-0.29999999999999993,0.13000905826248646,2.040151152011816
5.0,-0.19999999999999996,0.13522663231028095,2.0008031502286827
5.0,-0.09999999999999998,0.14013542948062974,1.9651459705245733
5.0,0.0,0.1447213595499958,1.9329450435915472
5.0,0.10000000000000009,0.14897998231039913,1.9039433289721053
5.0,0.20000000000000018,0.15291485719138115,1.8778740014323645
5.0,0.30000000000000004,0.15653577367866345,1.8544707093175277
5.0,0.40000000000000013,0.1598570495923851,1.833475303151347
5.0,0.5,0.16289601696450942,1.8146432144741105
5.0,0.6000000000000001,0.16567175547349633,1.7977468248815387
5.0,0.7000000000000002,0.16820408807751752,1.7825772268782583
5.0,0.8,0.17051282376781926,1.7689447723724174
5.0,0.9000000000000001,0.17261721603829697,1.7566787600098395
5.0,1.0,0.17453559924999296,1.7456265509830033
7.0,-1.0,0.03568874340510076,3.3329199506989315
7.0,-0.9,0.02861212223544008,3.5539247965712093
7.0,-0.8,0.032826477929191404,3.416519835307492
7.0,-0.7,0.03704827523949031,3.295533480564108
7.0,-0.6,0.04126337403279135,3.1877799997723018
7.0,-0.5,0.04546965180262761,3.0907101689131
7.0,-0.3999999999999999,0.049667627462177504,3.00240191701584
7.0,-0.29999999999999993,0.05385526070915077,2.921455188245048
7.0,-0.19999999999999996,0.05802581773860341,2.8468672340540135
7.0,-0.09999999999999998,0.06216762865515459,2.7779208543404525
7.0,0.0,0.06626488987178503,2.7140950865872675
7.0,0.10000000000000009,0.07029897162259868,2.6549981086850507
7.0,0.20000000000000018,0.07424989287036388,2.600318944123751
7.0,0.30000000000000004,0.07809774701776051,2.549794069956426
7.0,0.40000000000000013,0.08182393865881517,2.5031854295459244
7.0,0.5,0.08541214826511713,2.4602669369564008
7.0,0.6000000000000001,0.08884898868127164,2.420817106761713
7.0,0.7000000000000002,0.09212435655151889,2.384615913012427
7.0,0.8,0.09523151180753672,2.3514443855736555
7.0,0.9000000000000001,0.09816693756278964,2.3210858050093774
7.0,1.0,0.10093004114512057,2.293327664071484
9.0,-1.0,0.011082256884410249,4.502409928476253
9.0,-0.9,0.008778221994640994,4.735481398147408
9.0,-0.8,0.010928348704237173,4.516395067417077
9.0,-0.7,0.013132776259357295,4.3326441690461825
9.0,-0.6,0.015409751973353718,4.172754724954611
9.0,-0.5,0.01777352928237542,4.030045047510672
9.0,-0.3999999999999999,0.02023315747180332,3.9004325612962085
9.0,-0.29999999999999993,0.02279319364714826,3.7812933118368584
9.0,-0.19999999999999996,0.025454304298567793,3.670870422640973
9.0,-0.09999999999999998,0.028213525110153324,3.5679538021807984
9.0,0.0,0.031064329919395152,3.471695065974507
9.0,0.10000000000000009,0.03399668236935809,3.381492336498778
9.0,0.20000000000000018,0.03699719564380696,3.296913162621001
9.0,0.30000000000000004,0.040049472044400014,3.2176397879666423
9.0,0.40000000000000013,0.04313464569441854,3.143428760364261
9.0,0.5,0.04623210946654708,3.0740807122036933
9.0,0.6000000000000001,0.04932037320427236,3.0094180337180223
9.0,0.7000000000000002,0.05237797765860967,2.9492690496855354
9.0,0.8,0.05538438005202357,2.8934576735032858
9.0,0.9000000000000001,0.0583207333227951,2.841797617238787
9.0,1.0,0.06117049943525031,2.7940902410519817
11.0,-1.0,0.0033783127074094458,5.690378893119797
11.0,-0.9,0.0027100866943120935,5.910774654081146
11.0,-0.8,0.0036671504424280786,5.608340364711019
11.0,-0.7,0.004693294564195418,5.361620477424195
11.0,-0.6,0.005804836664261254,5.149063801306302
11.0,-0.5,0.007013342587265918,4.9599408603045285
11.0,-0.3999999999999999,0.008327620402863856,4.788177529536374
11.0,-0.29999999999999993,0.009754685151157549,4.630007581065293
11.0,-0.19999999999999996,0.01130006648785518,4.482946669400163
11.0,-0.09999999999999998,0.01296775537188211,4.345289358708636
11.0,0.0,0.014759945545545102,4.2158381491428285
11.0,0.10000000000000009,0.01667666523141596,4.093744828213541
11.0,0.20000000000000018,0.01871537512988729,3.9784098934832
